name_1,name_2,name_3,degree_1,degree_2,degree_3,error
circumradius,dist_centroid__steiner_focus_1,dist_steiner_focus_1__steiner_focus_2,1,1,1,2.5388480935362168e-05
dist_centroid__circumcenter,dist_centroid__orthocenter,dist_incenter__steiner_focus_1,1,1,1,2.8404092518030666e-05
dist_centroid__circumcenter,dist_centroid__orthocenter,dist_centroid__steiner_focus_2,1,1,1,2.92515705950791e-05
area,dist_centroid__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,2,1,1,2.935961128969211e-05
circumradius,dist_circumcenter__incenter,inradius,1,1,1,3.0068047635722905e-05
dist_centroid__circumcenter,dist_centroid__steiner_focus_1,dist_circumcenter__orthocenter,1,1,1,3.160452615702525e-05
dist_centroid__circumcenter,perimeter,semiperimeter,1,1,1,3.2078973163152114e-05
circumradius,dist_centroid__circumcenter,dist_circumcenter__orthocenter,1,1,1,3.274466871516779e-05
dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,dist_circumcenter__orthocenter,1,1,1,3.330410618218593e-05
dist_centroid__circumcenter,dist_centroid__orthocenter,dist_centroid__steiner_focus_1,1,1,1,3.4016953577520326e-05
dist_centroid__circumcenter,dist_circumcenter__orthocenter,dist_steiner_focus_1__steiner_focus_2,1,1,1,3.4271586628165096e-05
dist_circumcenter__steiner_focus_2,perimeter,semiperimeter,1,1,1,3.4593267628224567e-05
dist_centroid__steiner_focus_2,dist_circumcenter__orthocenter,dist_steiner_focus_1__steiner_focus_2,1,1,1,3.6275319871492684e-05
dist_centroid__steiner_focus_2,dist_circumcenter__incenter,dist_steiner_focus_1__steiner_focus_2,1,1,1,3.670515798148699e-05
dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,dist_circumcenter__steiner_focus_1,1,1,1,3.681893213069998e-05
dist_centroid__circumcenter,dist_centroid__orthocenter,dist_steiner_focus_1__steiner_focus_2,1,1,1,3.7410962249850854e-05
dist_centroid__circumcenter,dist_centroid__orthocenter,dist_orthocenter__steiner_focus_2,1,1,1,3.754145291168243e-05
dist_centroid__orthocenter,dist_centroid__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,1,1,1,3.783783540711738e-05
dist_centroid__circumcenter,dist_centroid__orthocenter,inradius,1,1,1,3.841102443402633e-05
dist_centroid__steiner_focus_2,dist_circumcenter__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,1,1,1,3.87314721592702e-05
dist_centroid__steiner_focus_1,dist_circumcenter__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,1,1,1,4.024337249575183e-05
dist_centroid__orthocenter,dist_circumcenter__orthocenter,inradius,1,1,1,4.091367372893728e-05
dist_centroid__steiner_focus_2,dist_circumcenter__steiner_focus_1,dist_steiner_focus_1__steiner_focus_2,1,1,1,4.092852395842783e-05
dist_circumcenter__orthocenter,perimeter,semiperimeter,1,1,1,4.204988363198936e-05
dist_circumcenter__steiner_focus_1,perimeter,semiperimeter,1,1,1,4.250765414326452e-05
dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,dist_incenter__orthocenter,1,1,1,4.26298902311828e-05
dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,dist_orthocenter__steiner_focus_2,1,1,1,4.273192098480649e-05
dist_centroid__steiner_focus_1,dist_circumcenter__steiner_focus_1,dist_steiner_focus_1__steiner_focus_2,1,1,1,4.2961797589669004e-05
dist_centroid__orthocenter,dist_circumcenter__orthocenter,perimeter,1,1,1,4.3542841012822464e-05
dist_centroid__steiner_focus_1,dist_incenter__steiner_focus_1,dist_incenter__steiner_focus_2,1,1,1,4.375008211354725e-05
dist_centroid__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,inradius,1,1,1,4.3978030589642e-05
dist_centroid__orthocenter,dist_centroid__steiner_focus_1,dist_steiner_focus_1__steiner_focus_2,1,1,1,4.492059088079259e-05
dist_circumcenter__incenter,perimeter,semiperimeter,1,1,1,4.504593016463332e-05
dist_centroid__steiner_focus_2,dist_incenter__steiner_focus_1,dist_incenter__steiner_focus_2,1,1,1,4.541151429293677e-05
dist_centroid__circumcenter,dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,1,1,1,4.618956154445186e-05
dist_steiner_focus_1__steiner_focus_2,inradius,perimeter,1,1,1,4.6595112507930025e-05
dist_centroid__steiner_focus_1,dist_incenter__orthocenter,dist_steiner_focus_1__steiner_focus_2,1,1,1,4.6943514462327585e-05
dist_centroid__circumcenter,dist_centroid__steiner_focus_1,dist_steiner_focus_1__steiner_focus_2,1,1,1,4.75402848678641e-05
area,dist_centroid__circumcenter,dist_centroid__orthocenter,2,1,1,4.931557850795798e-05
dist_centroid__orthocenter,dist_circumcenter__orthocenter,semiperimeter,1,1,1,4.93754050694406e-05
dist_centroid__steiner_focus_2,dist_incenter__orthocenter,dist_steiner_focus_1__steiner_focus_2,1,1,1,5.093933214084245e-05
dist_orthocenter__steiner_focus_1,perimeter,semiperimeter,1,1,1,5.17907137691509e-05
