name_1,name_2,name_3,real_error,null_mean,null_std,z_score,ratio
dist_circumcenter__incenter,dist_incenter__orthocenter,dist_orthocenter__steiner_focus_2,0.0010104975485258814,0.2648881731573998,0.06547039670485037,4.030488417512896,0.003814808099889878
dist_centroid__orthocenter,dist_circumcenter__orthocenter,dist_circumcenter__steiner_focus_1,0.0011448901859394214,0.2452520597190008,0.0736037741632446,3.3165034308113075,0.004668218433114026
dist_centroid__circumcenter,dist_circumcenter__orthocenter,dist_circumcenter__steiner_focus_2,0.0008673015952831441,0.13668864893553892,0.02738171670620262,4.960293351858723,0.006345088652475857
circumradius,dist_circumcenter__incenter,dist_incenter__orthocenter,0.001966163981045751,0.2771588599177306,0.1501174532766562,1.8331825509291282,0.007093996495834086
dist_centroid__orthocenter,dist_circumcenter__steiner_focus_1,dist_orthocenter__steiner_focus_2,0.0012385766789440764,0.17086898782135407,0.09109030273138641,1.86222249850929,0.007248692081204495
dist_centroid__circumcenter,dist_circumcenter__steiner_focus_2,dist_orthocenter__steiner_focus_1,0.0010900285420835283,0.1480176671965713,0.006947749160256873,21.147516305706052,0.0073641786330542695
dist_circumcenter__steiner_focus_1,dist_incenter__orthocenter,dist_orthocenter__steiner_focus_1,0.0017783278343502752,0.22738759740364436,0.18183476289956865,1.2407378323687372,0.007820689671097135
dist_circumcenter__incenter,dist_circumcenter__steiner_focus_2,dist_incenter__orthocenter,0.0015570610440895439,0.1549683342663663,0.06664254616070933,2.302001980121281,0.010047607799753463
dist_circumcenter__incenter,dist_circumcenter__orthocenter,dist_circumcenter__steiner_focus_1,0.001097811041773647,0.10853230315543289,0.04732686157397005,2.2700531693981714,0.010115062611372336
dist_circumcenter__orthocenter,dist_incenter__orthocenter,dist_orthocenter__steiner_focus_1,0.0017535964093275118,0.15762052908140226,0.04048055585085268,3.8504148324038283,0.011125431563688488
dist_centroid__circumcenter,dist_centroid__orthocenter,dist_orthocenter__steiner_focus_2,0.0013498213154766394,0.12070311031536723,0.06376329585472351,1.8718180639818516,0.011182987016240854
dist_centroid__circumcenter,dist_centroid__orthocenter,dist_circumcenter__incenter,0.0026065566775363585,0.2328189927524995,0.1275920370948365,1.8042852933200766,0.011195635917501301
dist_centroid__circumcenter,dist_centroid__orthocenter,dist_incenter__orthocenter,0.001343201519872294,0.11518680470997016,0.055526235581145805,2.05026690533932,0.011661071103190618
dist_circumcenter__orthocenter,dist_orthocenter__steiner_focus_1,dist_orthocenter__steiner_focus_2,0.0017057366621886232,0.12379681489538746,0.05216756467028265,2.340363768269755,0.013778518160019132
dist_circumcenter__incenter,dist_circumcenter__steiner_focus_2,dist_orthocenter__steiner_focus_2,0.00277316360635912,0.20078695457547338,0.057471274523494466,3.4454393540231214,0.01381147302235077
dist_centroid__orthocenter,dist_circumcenter__incenter,dist_circumcenter__orthocenter,0.0011235304094071637,0.07765074667428502,0.009799401277027104,7.809376726339584,0.014469022611204772
dist_circumcenter__steiner_focus_1,dist_incenter__orthocenter,dist_orthocenter__steiner_focus_2,0.0026623609990723655,0.18045059917404746,0.04636047659604355,3.83490963054827,0.014753960426058083
dist_circumcenter__orthocenter,dist_incenter__orthocenter,dist_orthocenter__steiner_focus_2,0.001368362065853536,0.08961788208795825,0.05634112739897247,1.5663428137881772,0.015268850746891282
dist_centroid__orthocenter,dist_circumcenter__incenter,dist_incenter__orthocenter,0.0028807530252694565,0.1854482389473414,0.07288377220449484,2.504912690438555,0.015534000439267883
circumradius,dist_circumcenter__orthocenter,dist_circumcenter__steiner_focus_2,0.0027065691120317184,0.17207583534199744,0.08089316841945156,2.093740046770615,0.0157289319947363
dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,dist_incenter__steiner_focus_2,0.0050114971212162785,0.30521422981931484,0.03976462836847635,7.549491722047278,0.016419605089130533
dist_circumcenter__steiner_focus_1,dist_circumcenter__steiner_focus_2,dist_orthocenter__steiner_focus_2,0.002518400446377698,0.13986178342903102,0.06823773781659778,2.012718876346552,0.01800635158964343
dist_centroid__circumcenter,dist_circumcenter__incenter,dist_incenter__orthocenter,0.0020274546860077503,0.10932903105237657,0.017592335354894854,6.099336682807917,0.018544522589214678
dist_circumcenter__incenter,dist_circumcenter__orthocenter,dist_incenter__orthocenter,0.002479802943989101,0.1310127718873926,0.04698637177298955,2.7355372226738215,0.018927948079142453
dist_circumcenter__incenter,dist_circumcenter__steiner_focus_1,dist_orthocenter__steiner_focus_1,0.0021392513863254725,0.11225985420922556,0.022531258950392746,4.887458932736671,0.019056245898363796
area,dist_centroid__steiner_focus_1,dist_steiner_focus_1__steiner_focus_2,0.005855107562177147,0.29730674802359097,0.06315642496748532,4.614758365620935,0.01969382666589374
dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,0.007063585516355254,0.3552346409776748,0.010205360222780485,34.116488576672616,0.019884281265236108
dist_centroid__circumcenter,dist_circumcenter__orthocenter,dist_orthocenter__steiner_focus_2,0.003777431493389123,0.18878854842944395,0.1691256114697315,1.09392726109473,0.020008795686041646
dist_centroid__steiner_focus_1,dist_circumcenter__orthocenter,dist_incenter__orthocenter,0.006511312600870472,0.3246403712368859,0.23959039588152461,1.3278038857339152,0.02005700207913837
circumradius,dist_circumcenter__orthocenter,dist_orthocenter__steiner_focus_1,0.002209092830614427,0.10866275489616661,0.016546976077762874,6.433420920249772,0.02032980695846833
dist_circumcenter__orthocenter,dist_incenter__steiner_focus_1,dist_orthocenter__steiner_focus_1,0.0025983250853874418,0.12718281110115254,0.021406603520975717,5.819909071221333,0.020429844747816676
dist_centroid__circumcenter,dist_centroid__steiner_focus_1,dist_steiner_focus_1__steiner_focus_2,0.006153045820643663,0.29924504726678597,0.21629731211037068,1.355042273001457,0.02056189693645301
dist_centroid__orthocenter,dist_circumcenter__orthocenter,semiperimeter,0.005690131867336103,0.2631752149952673,0.2182668014344625,1.179680471036932,0.02162107806177124
dist_centroid__orthocenter,dist_circumcenter__steiner_focus_2,semiperimeter,0.00538928011713921,0.24886520205683937,0.16946620315532082,1.436722587786706,0.02165541856634633
